2025-02-28 00:09:22 INFO  JdbcExample:43 - |      id      |      topic_id      |      content      |      author      |      likes      |      create_time      |      update_time      |
2025-02-28 00:09:22 INFO  JdbcExample:54 - |      1860154476011823106      |      1      |      abc      |      robin      |      0      |      2024-11-23 10:52:41      |      2024-11-23 22:36:19      |
2025-02-28 00:09:22 INFO  JdbcExample:54 - |      1860154517283774466      |      0      |      abcasd      |      robin      |      0      |      2024-11-23 10:52:51      |      2024-11-23 10:52:51      |
2025-02-28 00:09:22 INFO  JdbcExample:54 - |      1860195013603450881      |      0      |      你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你      |      robin      |      0      |      2024-11-23 13:33:46      |      2024-11-23 13:33:46      |
2025-02-28 00:09:22 INFO  JdbcExample:54 - |      1860195037590675458      |      0      |      你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你你      |      robin      |      0      |      2024-11-23 13:33:52      |      2024-11-23 13:33:52      |
2025-02-28 00:09:22 INFO  JdbcExample:54 - |      1860195339555397634      |      0      |      ad      |      robin      |      0      |      2024-11-23 13:35:04      |      2024-11-23 13:35:04      |
2025-02-28 00:09:22 INFO  JdbcExample:54 - |      1860196529382961153      |      0      |      asdasd      |      robin      |      0      |      2024-11-23 13:39:48      |      2024-11-23 13:39:48      |
2025-02-28 00:09:22 INFO  JdbcExample:54 - |      1860205992630403074      |      0      |      英雄模范s      |      robin      |      0      |      2024-11-23 14:17:24      |      2024-11-23 14:17:24      |
2025-02-28 00:09:22 INFO  JdbcExample:54 - |      1860207448028684289      |      0      |      faaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadss      |      robin      |      0      |      2024-11-23 14:23:11      |      2024-11-23 14:23:11      |
2025-02-28 00:09:22 INFO  JdbcExample:54 - |      1860208309232492546      |      0      |      ads      |      robin      |      0      |      2024-11-23 14:26:36      |      2024-11-23 14:26:36      |
2025-02-28 00:09:22 INFO  JdbcExample:54 - |      1860209106930470914      |      0      |      朝秦暮楚sa      |      robin      |      0      |      2024-11-23 14:29:46      |      2024-11-23 14:29:46      |
2025-02-28 00:09:22 INFO  JdbcExample:54 - |      1860214706191990785      |      0      |      adaddaads      |      robin      |      0      |      2024-11-23 14:52:01      |      2024-11-23 14:52:01      |
2025-02-28 00:09:22 INFO  JdbcExample:54 - |      1860214756397809666      |      0      |      你就什么      |      robin      |      0      |      2024-11-23 14:52:13      |      2024-11-23 14:52:13      |
2025-02-28 00:09:22 INFO  JdbcExample:54 - |      1860217924414341121      |      0      |      基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本基本      |      robin      |      0      |      2024-11-23 15:04:49      |      2024-11-23 15:04:49      |
2025-02-28 00:09:22 INFO  JdbcExample:54 - |      1860217946249887746      |      0      |      英雄模范sd      |      robin      |      0      |      2024-11-23 15:04:54      |      2024-11-23 15:04:54      |
